k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
3,14,RAB,1,1,35,3,0,FORCED,1,1496,900
3,14,RAB,1,2,35,4,0,FORCED,2,1496,1640
3,14,RAB,1,3,35,5,0,FORCED,3,1496,2260
3,14,RAB,1,4,35,6,0,FORCED,4,1496,2730
3,14,RAB,1,5,35,2,0,not_forced,4,1496,3290
3,14,RAB,1,6,35,3,1,FORCED,5,1496,3570
3,14,RAB,1,7,35,4,1,FORCED,6,1496,3820
3,14,RAB,1,8,35,5,1,FORCED,7,1496,4020
3,14,RAB,1,9,35,6,1,FORCED,8,1496,4190
3,14,RAB,1,10,35,2,1,not_forced,8,1496,4390
3,14,RAB,1,11,35,3,2,FORCED,9,1496,4490
3,14,RAB,1,12,35,4,2,FORCED,10,1496,4580
3,14,RAB,1,13,35,5,2,FORCED,11,1496,4660
3,14,RAB,1,14,35,6,2,FORCED,12,1496,4720
3,14,RAB,1,15,35,2,2,not_forced,12,1496,4780
3,14,RAB,1,16,35,3,3,not_forced,12,1496,4840
3,14,RAB,1,17,35,3,4,not_forced,12,1496,4900
3,14,RAB,1,18,35,4,3,not_forced,12,1496,4950
3,14,RAB,1,19,35,4,4,not_forced,12,1496,5000
3,14,RAB,1,20,35,5,3,not_forced,12,1496,5060
3,14,RAB,1,21,35,5,4,not_forced,12,1496,5110
3,14,RAB,1,22,35,6,3,not_forced,12,1496,5170
3,14,RAB,1,23,35,6,4,not_forced,12,1496,5220
3,14,RAB,1,24,35,2,3,not_forced,12,1496,5280
3,14,RAB,1,25,35,2,4,not_forced,12,1496,5340
3,14,RAB,1,26,35,3,5,not_forced,12,1496,5390
3,14,RAB,1,27,35,4,5,not_forced,12,1496,5440
3,14,RAB,1,28,35,5,5,not_forced,12,1496,5500
3,14,RAB,1,29,35,6,5,not_forced,12,1496,5560
3,14,RAB,1,30,35,2,5,not_forced,12,1496,5610
3,14,RAB,1,31,35,3,6,not_forced,12,1496,5670
3,14,RAB,1,32,35,4,6,not_forced,12,1496,5730
3,14,RAB,1,33,35,5,6,not_forced,12,1496,5790
3,14,RAB,1,34,35,6,6,not_forced,12,1496,5850
3,14,RAB,1,35,35,2,6,not_forced,12,1496,5940
FINAL_RAB,3,14,1496,37,true,6010
3,14,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1496,6010
FORCED_VARS,3,14,12,p30 p31 p32 p40 p41 p42 p50 p51 p52 p60 p61 p62
