k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
20,15,RAB,1,1,49,5,0,FORCED,1,1815,1290
20,15,RAB,1,2,49,5,1,FORCED,2,1815,2380
20,15,RAB,1,3,49,5,2,FORCED,3,1815,3290
20,15,RAB,1,4,49,5,3,FORCED,4,1815,3970
20,15,RAB,1,5,49,6,0,FORCED,5,1815,4520
20,15,RAB,1,6,49,6,1,FORCED,6,1815,4960
20,15,RAB,1,7,49,6,2,FORCED,7,1815,5300
20,15,RAB,1,8,49,6,3,FORCED,8,1815,5530
20,15,RAB,1,9,49,5,4,FORCED,9,1815,5670
20,15,RAB,1,10,49,6,4,FORCED,10,1815,5760
20,15,RAB,1,11,49,3,0,not_forced,10,1815,5840
20,15,RAB,1,12,49,3,1,not_forced,10,1815,5920
20,15,RAB,1,13,49,3,2,not_forced,10,1815,5990
20,15,RAB,1,14,49,3,3,not_forced,10,1815,6060
20,15,RAB,1,15,49,4,0,not_forced,10,1815,6130
20,15,RAB,1,16,49,4,1,not_forced,10,1815,6200
20,15,RAB,1,17,49,4,2,not_forced,10,1815,6270
20,15,RAB,1,18,49,4,3,not_forced,10,1815,6350
20,15,RAB,1,19,49,5,5,not_forced,10,1815,6460
20,15,RAB,1,20,49,5,6,not_forced,10,1815,6560
20,15,RAB,1,21,49,6,5,not_forced,10,1815,6650
20,15,RAB,1,22,49,6,6,not_forced,10,1815,6750
20,15,RAB,1,23,49,3,4,not_forced,10,1815,6990
20,15,RAB,1,24,49,4,4,not_forced,10,1815,7230
20,15,RAB,1,25,49,1,0,not_forced,10,1815,7310
20,15,RAB,1,26,49,1,1,not_forced,10,1815,7390
20,15,RAB,1,27,49,1,2,not_forced,10,1815,7460
20,15,RAB,1,28,49,1,3,not_forced,10,1815,7540
20,15,RAB,1,29,49,2,0,not_forced,10,1815,7630
20,15,RAB,1,30,49,2,1,not_forced,10,1815,7710
20,15,RAB,1,31,49,2,2,not_forced,10,1815,7790
20,15,RAB,1,32,49,2,3,not_forced,10,1815,7860
20,15,RAB,1,33,49,3,5,not_forced,10,1815,8100
20,15,RAB,1,34,49,3,6,not_forced,10,1815,8340
20,15,RAB,1,35,49,4,5,not_forced,10,1815,8570
20,15,RAB,1,36,49,4,6,not_forced,10,1815,8810
20,15,RAB,1,37,49,1,4,not_forced,10,1815,9040
20,15,RAB,1,38,49,2,4,not_forced,10,1815,9290
20,15,RAB,1,39,49,1,5,not_forced,10,1815,9520
20,15,RAB,1,40,49,1,6,not_forced,10,1815,9760
20,15,RAB,1,41,49,2,5,not_forced,10,1815,10010
20,15,RAB,1,42,49,2,6,not_forced,10,1815,10270
20,15,RAB,1,43,49,0,0,not_forced,10,1815,10540
20,15,RAB,1,44,49,0,1,not_forced,10,1815,10810
20,15,RAB,1,45,49,0,2,not_forced,10,1815,11060
20,15,RAB,1,46,49,0,3,not_forced,10,1815,11340
20,15,RAB,1,47,49,0,4,not_forced,10,1815,11570
20,15,RAB,1,48,49,0,5,not_forced,10,1815,11820
20,15,RAB,1,49,49,0,6,not_forced,10,1815,12050
FINAL_RAB,20,15,1815,39,true,12230
20,15,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,10,1815,12230
FORCED_VARS,20,15,10,p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
