k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
17,2,RAB,1,1,49,6,0,FORCED,1,2173,1830
17,2,RAB,1,2,49,6,1,FORCED,2,2173,3280
17,2,RAB,1,3,49,6,2,FORCED,3,2173,4440
17,2,RAB,1,4,49,5,0,FORCED,4,2173,5350
17,2,RAB,1,5,49,5,1,FORCED,5,2173,6160
17,2,RAB,1,6,49,5,2,FORCED,6,2173,6850
17,2,RAB,1,7,49,4,0,FORCED,7,2173,7370
17,2,RAB,1,8,49,4,1,FORCED,8,2173,7820
17,2,RAB,1,9,49,4,2,FORCED,9,2173,8190
17,2,RAB,1,10,49,6,3,FORCED,10,2173,8470
17,2,RAB,1,11,49,6,4,FORCED,11,2173,8690
17,2,RAB,1,12,49,3,0,FORCED,12,2173,8840
17,2,RAB,1,13,49,3,1,FORCED,13,2173,8960
17,2,RAB,1,14,49,3,2,FORCED,14,2173,9060
17,2,RAB,1,15,49,5,3,FORCED,15,2173,9150
17,2,RAB,1,16,49,5,4,FORCED,16,2173,9220
17,2,RAB,1,17,49,4,3,FORCED,17,2173,9270
17,2,RAB,1,18,49,4,4,FORCED,18,2173,9320
FINAL_RAB,17,2,2173,31,SKIPPED,9330
FINAL_SAT,17,2,2173,31,SKIPPED,9330
17,2,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,18,2173,9330
FORCED_VARS,17,2,18,p30 p31 p32 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
