k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
4,12,RAB,1,1,49,6,0,FORCED,1,1656,1330
4,12,RAB,1,2,49,6,1,FORCED,2,1656,2260
4,12,RAB,1,3,49,6,2,FORCED,3,1656,2950
4,12,RAB,1,4,49,5,0,FORCED,4,1656,3470
4,12,RAB,1,5,49,5,1,FORCED,5,1656,3910
4,12,RAB,1,6,49,4,0,FORCED,6,1656,4240
4,12,RAB,1,7,49,6,3,FORCED,7,1656,4500
4,12,RAB,1,8,49,4,1,FORCED,8,1656,4680
4,12,RAB,1,9,49,5,2,FORCED,9,1656,4820
4,12,RAB,1,10,49,4,2,FORCED,10,1656,4910
4,12,RAB,1,11,49,5,3,FORCED,11,1656,4990
4,12,RAB,1,12,49,6,4,not_forced,11,1656,5080
4,12,RAB,1,13,49,4,3,FORCED,12,1656,5140
4,12,RAB,1,14,49,2,0,not_forced,12,1656,5210
4,12,RAB,1,15,49,3,0,not_forced,12,1656,5270
4,12,RAB,1,16,49,5,4,not_forced,12,1656,5340
4,12,RAB,1,17,49,6,5,not_forced,12,1656,5440
4,12,RAB,1,18,49,2,1,not_forced,12,1656,5500
4,12,RAB,1,19,49,3,1,not_forced,12,1656,5550
4,12,RAB,1,20,49,4,4,not_forced,12,1656,5620
4,12,RAB,1,21,49,1,0,not_forced,12,1656,5690
4,12,RAB,1,22,49,2,2,not_forced,12,1656,5750
4,12,RAB,1,23,49,3,2,not_forced,12,1656,5810
4,12,RAB,1,24,49,1,1,not_forced,12,1656,5900
4,12,RAB,1,25,49,5,5,not_forced,12,1656,6000
4,12,RAB,1,26,49,2,3,not_forced,12,1656,6080
4,12,RAB,1,27,49,3,3,not_forced,12,1656,6150
4,12,RAB,1,28,49,6,6,not_forced,12,1656,6500
4,12,RAB,1,29,49,1,2,not_forced,12,1656,6590
4,12,RAB,1,30,49,4,5,not_forced,12,1656,6760
4,12,RAB,1,31,49,1,3,not_forced,12,1656,7000
4,12,RAB,1,32,49,2,4,not_forced,12,1656,7110
4,12,RAB,1,33,49,3,4,not_forced,12,1656,7220
4,12,RAB,1,34,49,5,6,not_forced,12,1656,7950
4,12,RAB,1,35,49,4,6,not_forced,12,1656,8670
4,12,RAB,1,36,49,0,0,not_forced,12,1656,9030
4,12,RAB,1,37,49,1,4,not_forced,12,1656,9340
4,12,RAB,1,38,49,0,1,not_forced,12,1656,10060
4,12,RAB,1,39,49,2,5,not_forced,12,1656,10870
4,12,RAB,1,40,49,3,5,not_forced,12,1656,11640
4,12,RAB,1,41,49,0,2,not_forced,12,1656,12340
4,12,RAB,1,42,49,1,5,not_forced,12,1656,13090
4,12,RAB,1,43,49,0,3,not_forced,12,1656,13780
4,12,RAB,1,44,49,2,6,not_forced,12,1656,14490
4,12,RAB,1,45,49,3,6,not_forced,12,1656,15190
4,12,RAB,1,46,49,0,4,not_forced,12,1656,15880
4,12,RAB,1,47,49,1,6,not_forced,12,1656,16680
4,12,RAB,1,48,49,0,5,not_forced,12,1656,17490
4,12,RAB,1,49,49,0,6,not_forced,12,1656,18320
FINAL_RAB,4,12,1656,37,true,18690
4,12,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1656,18690
FORCED_VARS,4,12,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
