k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
14,19,RAB,1,1,49,6,0,FORCED,1,1550,1350
14,19,RAB,1,2,49,6,1,FORCED,2,1550,2160
14,19,RAB,1,3,49,4,0,FORCED,3,1550,2660
14,19,RAB,1,4,49,4,1,FORCED,4,1550,3080
14,19,RAB,1,5,49,5,0,FORCED,5,1550,3430
14,19,RAB,1,6,49,5,1,FORCED,6,1550,3700
14,19,RAB,1,7,49,3,0,not_forced,6,1550,4000
14,19,RAB,1,8,49,3,1,not_forced,6,1550,4290
14,19,RAB,1,9,49,6,2,FORCED,7,1550,4480
14,19,RAB,1,10,49,6,3,not_forced,7,1550,4680
14,19,RAB,1,11,49,6,4,not_forced,7,1550,4880
14,19,RAB,1,12,49,6,5,not_forced,7,1550,5090
14,19,RAB,1,13,49,6,6,not_forced,7,1550,5270
14,19,RAB,1,14,49,4,2,FORCED,8,1550,5400
14,19,RAB,1,15,49,5,2,FORCED,9,1550,5520
14,19,RAB,1,16,49,4,3,not_forced,9,1550,5680
14,19,RAB,1,17,49,4,4,not_forced,9,1550,5840
14,19,RAB,1,18,49,4,5,not_forced,9,1550,6000
14,19,RAB,1,19,49,4,6,not_forced,9,1550,6160
14,19,RAB,1,20,49,5,3,not_forced,9,1550,6320
14,19,RAB,1,21,49,5,4,not_forced,9,1550,6480
14,19,RAB,1,22,49,5,5,not_forced,9,1550,6630
14,19,RAB,1,23,49,5,6,not_forced,9,1550,6790
14,19,RAB,1,24,49,3,2,not_forced,9,1550,6940
14,19,RAB,1,25,49,3,3,not_forced,9,1550,7130
14,19,RAB,1,26,49,3,4,not_forced,9,1550,7310
14,19,RAB,1,27,49,3,5,not_forced,9,1550,7480
14,19,RAB,1,28,49,3,6,not_forced,9,1550,7650
14,19,RAB,1,29,49,0,0,not_forced,9,1550,7830
14,19,RAB,1,30,49,0,1,not_forced,9,1550,8010
14,19,RAB,1,31,49,1,0,not_forced,9,1550,8180
14,19,RAB,1,32,49,1,1,not_forced,9,1550,8360
14,19,RAB,1,33,49,2,0,not_forced,9,1550,8540
14,19,RAB,1,34,49,2,1,not_forced,9,1550,8710
RESUME_JUMP_FINAL,14,19,9,1550,8710
FINAL_RAB,14,19,1550,40,true,20210
14,19,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,9,1550,20210
FORCED_VARS,14,19,9,p40 p41 p42 p50 p51 p52 p60 p61 p62
