k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
21,8,RAB,1,1,42,4,0,FORCED,1,2183,1340
21,8,RAB,1,2,42,4,1,FORCED,2,2183,2540
21,8,RAB,1,3,42,5,0,FORCED,3,2183,3640
21,8,RAB,1,4,42,5,1,FORCED,4,2183,4600
21,8,RAB,1,5,42,6,0,FORCED,5,2183,5450
21,8,RAB,1,6,42,6,1,FORCED,6,2183,6160
21,8,RAB,1,7,42,4,2,FORCED,7,2183,6690
21,8,RAB,1,8,42,4,3,FORCED,8,2183,7180
21,8,RAB,1,9,42,4,4,FORCED,9,2183,7580
21,8,RAB,1,10,42,4,5,FORCED,10,2183,7890
21,8,RAB,1,11,42,5,2,FORCED,11,2183,8100
21,8,RAB,1,12,42,5,3,FORCED,12,2183,8290
21,8,RAB,1,13,42,5,4,FORCED,13,2183,8440
21,8,RAB,1,14,42,5,5,FORCED,14,2183,8550
FINAL_RAB,21,8,2183,35,SKIPPED,8560
FINAL_SAT,21,8,2183,35,SKIPPED,8560
21,8,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,14,2183,8560
FORCED_VARS,21,8,14,p40 p41 p42 p43 p44 p45 p50 p51 p52 p53 p54 p55 p60 p61
