k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
13,9,RAB,1,1,49,6,0,FORCED,1,1776,1680
13,9,RAB,1,2,49,6,1,FORCED,2,1776,2740
13,9,RAB,1,3,49,6,2,FORCED,3,1776,3590
13,9,RAB,1,4,49,4,0,FORCED,4,1776,4210
13,9,RAB,1,5,49,5,0,FORCED,5,1776,4760
13,9,RAB,1,6,49,6,3,FORCED,6,1776,5180
13,9,RAB,1,7,49,4,1,FORCED,7,1776,5480
13,9,RAB,1,8,49,4,2,FORCED,8,1776,5730
13,9,RAB,1,9,49,5,1,FORCED,9,1776,5940
13,9,RAB,1,10,49,5,2,FORCED,10,1776,6110
13,9,RAB,1,11,49,2,0,not_forced,10,1776,6270
13,9,RAB,1,12,49,3,0,not_forced,10,1776,6460
13,9,RAB,1,13,49,4,3,FORCED,11,1776,6570
13,9,RAB,1,14,49,5,3,FORCED,12,1776,6670
13,9,RAB,1,15,49,2,1,not_forced,12,1776,6750
13,9,RAB,1,16,49,2,2,not_forced,12,1776,6840
13,9,RAB,1,17,49,3,1,not_forced,12,1776,6920
13,9,RAB,1,18,49,3,2,not_forced,12,1776,7010
13,9,RAB,1,19,49,6,4,not_forced,12,1776,7100
13,9,RAB,1,20,49,6,5,not_forced,12,1776,7190
13,9,RAB,1,21,49,2,3,not_forced,12,1776,7280
13,9,RAB,1,22,49,3,3,not_forced,12,1776,7370
13,9,RAB,1,23,49,4,4,not_forced,12,1776,7450
13,9,RAB,1,24,49,4,5,not_forced,12,1776,7540
13,9,RAB,1,25,49,5,4,not_forced,12,1776,7620
13,9,RAB,1,26,49,5,5,not_forced,12,1776,7700
13,9,RAB,1,27,49,6,6,not_forced,12,1776,7810
13,9,RAB,1,28,49,2,4,not_forced,12,1776,7980
13,9,RAB,1,29,49,2,5,not_forced,12,1776,8090
13,9,RAB,1,30,49,3,4,not_forced,12,1776,8190
13,9,RAB,1,31,49,3,5,not_forced,12,1776,8300
13,9,RAB,1,32,49,4,6,not_forced,12,1776,8410
13,9,RAB,1,33,49,5,6,not_forced,12,1776,8520
13,9,RAB,1,34,49,2,6,not_forced,12,1776,8760
13,9,RAB,1,35,49,3,6,not_forced,12,1776,9010
13,9,RAB,1,36,49,0,0,not_forced,12,1776,9120
13,9,RAB,1,37,49,1,0,not_forced,12,1776,9230
13,9,RAB,1,38,49,0,1,not_forced,12,1776,9470
13,9,RAB,1,39,49,0,2,not_forced,12,1776,9710
13,9,RAB,1,40,49,1,1,not_forced,12,1776,9950
13,9,RAB,1,41,49,1,2,not_forced,12,1776,10190
13,9,RAB,1,42,49,0,3,not_forced,12,1776,10440
13,9,RAB,1,43,49,1,3,not_forced,12,1776,10670
13,9,RAB,1,44,49,0,4,not_forced,12,1776,10910
13,9,RAB,1,45,49,0,5,not_forced,12,1776,11160
13,9,RAB,1,46,49,1,4,not_forced,12,1776,11400
13,9,RAB,1,47,49,1,5,not_forced,12,1776,11640
13,9,RAB,1,48,49,0,6,not_forced,12,1776,11880
13,9,RAB,1,49,49,1,6,not_forced,12,1776,12120
FINAL_RAB,13,9,1776,37,true,12230
13,9,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1776,12230
FORCED_VARS,13,9,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
