k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
19,5,RAB,1,1,49,6,0,FORCED,1,2014,1760
19,5,RAB,1,2,49,6,1,FORCED,2,2014,3090
19,5,RAB,1,3,49,6,2,FORCED,3,2014,4110
19,5,RAB,1,4,49,5,0,FORCED,4,2014,4840
19,5,RAB,1,5,49,5,1,FORCED,5,2014,5500
19,5,RAB,1,6,49,5,2,FORCED,6,2014,6020
19,5,RAB,1,7,49,4,0,FORCED,7,2014,6420
19,5,RAB,1,8,49,4,1,FORCED,8,2014,6760
19,5,RAB,1,9,49,4,2,FORCED,9,2014,7030
19,5,RAB,1,10,49,6,3,FORCED,10,2014,7210
19,5,RAB,1,11,49,6,4,not_forced,10,2014,7430
19,5,RAB,1,12,49,6,5,not_forced,10,2014,7630
19,5,RAB,1,13,49,5,3,FORCED,11,2014,7770
19,5,RAB,1,14,49,3,0,not_forced,11,2014,7930
19,5,RAB,1,15,49,3,1,not_forced,11,2014,8080
19,5,RAB,1,16,49,3,2,not_forced,11,2014,8230
19,5,RAB,1,17,49,5,4,not_forced,11,2014,8390
19,5,RAB,1,18,49,5,5,not_forced,11,2014,8540
19,5,RAB,1,19,49,4,3,FORCED,12,2014,8660
19,5,RAB,1,20,49,4,4,not_forced,12,2014,8780
19,5,RAB,1,21,49,4,5,not_forced,12,2014,8900
19,5,RAB,1,22,49,2,0,not_forced,12,2014,9040
19,5,RAB,1,23,49,2,1,not_forced,12,2014,9160
19,5,RAB,1,24,49,2,2,not_forced,12,2014,9280
19,5,RAB,1,25,49,3,3,not_forced,12,2014,9410
19,5,RAB,1,26,49,3,4,not_forced,12,2014,9560
19,5,RAB,1,27,49,3,5,not_forced,12,2014,9710
19,5,RAB,1,28,49,1,0,not_forced,12,2014,10020
RESUME_JUMP_FINAL,19,5,12,2014,10020
FINAL_RAB,19,5,2014,37,true,10470
19,5,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,2014,10470
FORCED_VARS,19,5,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
