k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
21,9,RAB,1,1,49,6,0,FORCED,1,2183,1580
21,9,RAB,1,2,49,6,1,FORCED,2,2183,2890
21,9,RAB,1,3,49,6,2,FORCED,3,2183,3970
21,9,RAB,1,4,49,6,3,FORCED,4,2183,4880
21,9,RAB,1,5,49,6,4,FORCED,5,2183,5580
21,9,RAB,1,6,49,6,5,FORCED,6,2183,6100
21,9,RAB,1,7,49,4,0,FORCED,7,2183,6430
21,9,RAB,1,8,49,4,1,FORCED,8,2183,6710
21,9,RAB,1,9,49,5,0,FORCED,9,2183,6960
21,9,RAB,1,10,49,5,1,FORCED,10,2183,7180
21,9,RAB,1,11,49,4,2,FORCED,11,2183,7340
21,9,RAB,1,12,49,4,3,FORCED,12,2183,7490
21,9,RAB,1,13,49,4,4,FORCED,13,2183,7610
21,9,RAB,1,14,49,4,5,FORCED,14,2183,7700
FINAL_RAB,21,9,2183,35,SKIPPED,7700
FINAL_SAT,21,9,2183,35,SKIPPED,7700
21,9,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,14,2183,7700
FORCED_VARS,21,9,14,p40 p41 p42 p43 p44 p45 p50 p51 p60 p61 p62 p63 p64 p65
