k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
7,18,RAB,1,1,49,5,0,FORCED,1,1457,1030
7,18,RAB,1,2,49,6,0,FORCED,2,1457,1860
7,18,RAB,1,3,49,5,1,FORCED,3,1457,2390
7,18,RAB,1,4,49,6,1,FORCED,4,1457,2830
7,18,RAB,1,5,49,5,2,FORCED,5,1457,3130
7,18,RAB,1,6,49,6,2,FORCED,6,1457,3370
7,18,RAB,1,7,49,5,3,FORCED,7,1457,3530
7,18,RAB,1,8,49,6,3,FORCED,8,1457,3660
7,18,RAB,1,9,49,5,4,not_forced,8,1457,3770
7,18,RAB,1,10,49,6,4,not_forced,8,1457,3880
7,18,RAB,1,11,49,2,0,not_forced,8,1457,3970
7,18,RAB,1,12,49,3,0,not_forced,8,1457,4060
7,18,RAB,1,13,49,4,0,not_forced,8,1457,4160
7,18,RAB,1,14,49,5,5,not_forced,8,1457,4280
7,18,RAB,1,15,49,6,5,not_forced,8,1457,4400
7,18,RAB,1,16,49,2,1,not_forced,8,1457,4490
7,18,RAB,1,17,49,3,1,not_forced,8,1457,4590
7,18,RAB,1,18,49,4,1,not_forced,8,1457,4680
7,18,RAB,1,19,49,2,2,not_forced,8,1457,4770
7,18,RAB,1,20,49,3,2,not_forced,8,1457,4860
7,18,RAB,1,21,49,4,2,not_forced,8,1457,4950
7,18,RAB,1,22,49,2,3,not_forced,8,1457,5060
7,18,RAB,1,23,49,3,3,not_forced,8,1457,5160
7,18,RAB,1,24,49,4,3,not_forced,8,1457,5270
7,18,RAB,1,25,49,2,4,not_forced,8,1457,5380
7,18,RAB,1,26,49,3,4,not_forced,8,1457,5500
7,18,RAB,1,27,49,4,4,not_forced,8,1457,5610
7,18,RAB,1,28,49,2,5,not_forced,8,1457,5730
7,18,RAB,1,29,49,3,5,not_forced,8,1457,5850
7,18,RAB,1,30,49,4,5,not_forced,8,1457,5960
7,18,RAB,1,31,49,5,6,not_forced,8,1457,6150
7,18,RAB,1,32,49,6,6,not_forced,8,1457,6350
7,18,RAB,1,33,49,0,0,not_forced,8,1457,6690
7,18,RAB,1,34,49,1,0,not_forced,8,1457,7030
7,18,RAB,1,35,49,0,1,not_forced,8,1457,7380
7,18,RAB,1,36,49,1,1,not_forced,8,1457,7730
7,18,RAB,1,37,49,0,2,not_forced,8,1457,8080
7,18,RAB,1,38,49,1,2,not_forced,8,1457,8420
7,18,RAB,1,39,49,0,3,not_forced,8,1457,8760
7,18,RAB,1,40,49,1,3,not_forced,8,1457,9110
7,18,RAB,1,41,49,2,6,not_forced,8,1457,9450
7,18,RAB,1,42,49,3,6,not_forced,8,1457,9790
7,18,RAB,1,43,49,4,6,not_forced,8,1457,10130
7,18,RAB,1,44,49,0,4,not_forced,8,1457,10480
7,18,RAB,1,45,49,1,4,not_forced,8,1457,10830
7,18,RAB,1,46,49,0,5,not_forced,8,1457,11160
7,18,RAB,1,47,49,1,5,not_forced,8,1457,11500
7,18,RAB,1,48,49,0,6,not_forced,8,1457,11850
7,18,RAB,1,49,49,1,6,not_forced,8,1457,12200
FINAL_RAB,7,18,1457,41,true,12490
7,18,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,8,1457,12490
FORCED_VARS,7,18,8,p50 p51 p52 p53 p60 p61 p62 p63
