k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
4,2,RAB,1,1,49,6,0,FORCED,1,1886,1650
4,2,RAB,1,2,49,6,1,FORCED,2,1886,2750
4,2,RAB,1,3,49,5,0,FORCED,3,1886,3650
4,2,RAB,1,4,49,6,2,FORCED,4,1886,4410
4,2,RAB,1,5,49,5,1,FORCED,5,1886,5010
4,2,RAB,1,6,49,4,0,FORCED,6,1886,5500
4,2,RAB,1,7,49,4,1,FORCED,7,1886,5890
4,2,RAB,1,8,49,5,2,FORCED,8,1886,6200
4,2,RAB,1,9,49,3,0,FORCED,9,1886,6440
4,2,RAB,1,10,49,6,3,FORCED,10,1886,6620
4,2,RAB,1,11,49,4,2,FORCED,11,1886,6750
4,2,RAB,1,12,49,3,1,FORCED,12,1886,6850
4,2,RAB,1,13,49,5,3,FORCED,13,1886,6930
4,2,RAB,1,14,49,3,2,FORCED,14,1886,6990
4,2,RAB,1,15,49,2,0,not_forced,14,1886,7070
4,2,RAB,1,16,49,4,3,FORCED,15,1886,7110
4,2,RAB,1,17,49,6,4,not_forced,15,1886,7170
4,2,RAB,1,18,49,2,1,not_forced,15,1886,7220
4,2,RAB,1,19,49,3,3,FORCED,16,1886,7270
FINAL_RAB,4,2,1886,33,SKIPPED,7270
FINAL_SAT,4,2,1886,33,SKIPPED,7270
4,2,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,16,1886,7270
FORCED_VARS,4,2,16,p30 p31 p32 p33 p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
