k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
20,17,RAB,1,1,49,6,0,FORCED,1,1705,1210
20,17,RAB,1,2,49,6,1,FORCED,2,1705,2120
20,17,RAB,1,3,49,6,2,FORCED,3,1705,2880
20,17,RAB,1,4,49,6,3,FORCED,4,1705,3430
20,17,RAB,1,5,49,5,0,FORCED,5,1705,3780
20,17,RAB,1,6,49,5,1,FORCED,6,1705,4060
20,17,RAB,1,7,49,5,2,FORCED,7,1705,4290
20,17,RAB,1,8,49,5,3,FORCED,8,1705,4460
20,17,RAB,1,9,49,6,4,FORCED,9,1705,4580
20,17,RAB,1,10,49,3,0,not_forced,9,1705,4660
20,17,RAB,1,11,49,3,1,not_forced,9,1705,4740
20,17,RAB,1,12,49,3,2,not_forced,9,1705,4820
20,17,RAB,1,13,49,3,3,not_forced,9,1705,4900
20,17,RAB,1,14,49,4,0,not_forced,9,1705,4980
20,17,RAB,1,15,49,4,1,not_forced,9,1705,5070
20,17,RAB,1,16,49,4,2,not_forced,9,1705,5150
20,17,RAB,1,17,49,4,3,not_forced,9,1705,5230
20,17,RAB,1,18,49,5,4,FORCED,10,1705,5290
20,17,RAB,1,19,49,6,5,not_forced,10,1705,5400
RESUME_JUMP_FINAL,20,17,10,1705,5400
FINAL_RAB,20,17,1705,39,true,5510
20,17,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,10,1705,5510
FORCED_VARS,20,17,10,p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
