k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
18,15,RAB,1,1,49,5,0,FORCED,1,1749,1470
18,15,RAB,1,2,49,5,1,FORCED,2,1749,2630
18,15,RAB,1,3,49,6,0,FORCED,3,1749,3570
18,15,RAB,1,4,49,6,1,FORCED,4,1749,4280
18,15,RAB,1,5,49,5,2,FORCED,5,1749,4740
18,15,RAB,1,6,49,5,3,FORCED,6,1749,5110
18,15,RAB,1,7,49,5,4,FORCED,7,1749,5410
18,15,RAB,1,8,49,6,2,FORCED,8,1749,5600
18,15,RAB,1,9,49,6,3,FORCED,9,1749,5750
18,15,RAB,1,10,49,6,4,FORCED,10,1749,5850
18,15,RAB,1,11,49,3,0,not_forced,10,1749,5930
18,15,RAB,1,12,49,3,1,not_forced,10,1749,6010
18,15,RAB,1,13,49,4,0,not_forced,10,1749,6090
18,15,RAB,1,14,49,4,1,not_forced,10,1749,6170
18,15,RAB,1,15,49,3,2,not_forced,10,1749,6280
18,15,RAB,1,16,49,3,3,not_forced,10,1749,6380
18,15,RAB,1,17,49,3,4,not_forced,10,1749,6480
18,15,RAB,1,18,49,4,2,not_forced,10,1749,6580
18,15,RAB,1,19,49,4,3,not_forced,10,1749,6680
18,15,RAB,1,20,49,4,4,not_forced,10,1749,6770
18,15,RAB,1,21,49,5,5,not_forced,10,1749,6930
18,15,RAB,1,22,49,5,6,not_forced,10,1749,7080
18,15,RAB,1,23,49,6,5,not_forced,10,1749,7240
18,15,RAB,1,24,49,6,6,not_forced,10,1749,7400
18,15,RAB,1,25,49,1,0,not_forced,10,1749,7510
18,15,RAB,1,26,49,1,1,not_forced,10,1749,7610
18,15,RAB,1,27,49,2,0,not_forced,10,1749,7710
18,15,RAB,1,28,49,2,1,not_forced,10,1749,7810
18,15,RAB,1,29,49,1,2,not_forced,10,1749,8190
18,15,RAB,1,30,49,1,3,not_forced,10,1749,8580
18,15,RAB,1,31,49,1,4,not_forced,10,1749,8970
18,15,RAB,1,32,49,2,2,not_forced,10,1749,9350
18,15,RAB,1,33,49,2,3,not_forced,10,1749,9740
18,15,RAB,1,34,49,2,4,not_forced,10,1749,10130
18,15,RAB,1,35,49,3,5,not_forced,10,1749,10920
18,15,RAB,1,36,49,3,6,not_forced,10,1749,11710
18,15,RAB,1,37,49,4,5,not_forced,10,1749,12500
18,15,RAB,1,38,49,4,6,not_forced,10,1749,13290
18,15,RAB,1,39,49,1,5,not_forced,10,1749,14080
18,15,RAB,1,40,49,1,6,not_forced,10,1749,14880
18,15,RAB,1,41,49,2,5,not_forced,10,1749,15660
18,15,RAB,1,42,49,2,6,not_forced,10,1749,16450
18,15,RAB,1,43,49,0,0,not_forced,10,1749,17240
18,15,RAB,1,44,49,0,1,not_forced,10,1749,18030
18,15,RAB,1,45,49,0,2,not_forced,10,1749,18820
18,15,RAB,1,46,49,0,3,not_forced,10,1749,19610
18,15,RAB,1,47,49,0,4,not_forced,10,1749,20410
18,15,RAB,1,48,49,0,5,not_forced,10,1749,21200
18,15,RAB,1,49,49,0,6,not_forced,10,1749,21980
FINAL_RAB,18,15,1749,39,true,22480
18,15,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,10,1749,22480
FORCED_VARS,18,15,10,p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
