k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
11,8,RAB,1,1,42,4,0,FORCED,1,1776,1210
11,8,RAB,1,2,42,5,0,FORCED,2,1776,2220
11,8,RAB,1,3,42,6,0,FORCED,3,1776,3020
11,8,RAB,1,4,42,3,0,not_forced,3,1776,3930
11,8,RAB,1,5,42,4,1,FORCED,4,1776,4450
11,8,RAB,1,6,42,4,2,FORCED,5,1776,4900
11,8,RAB,1,7,42,4,3,FORCED,6,1776,5280
11,8,RAB,1,8,42,4,4,FORCED,7,1776,5610
11,8,RAB,1,9,42,5,1,FORCED,8,1776,5840
11,8,RAB,1,10,42,5,2,FORCED,9,1776,6030
11,8,RAB,1,11,42,5,3,FORCED,10,1776,6200
11,8,RAB,1,12,42,5,4,FORCED,11,1776,6340
11,8,RAB,1,13,42,6,1,FORCED,12,1776,6440
11,8,RAB,1,14,42,6,2,FORCED,13,1776,6520
11,8,RAB,1,15,42,6,3,FORCED,14,1776,6600
11,8,RAB,1,16,42,6,4,FORCED,15,1776,6670
FINAL_RAB,11,8,1776,34,SKIPPED,6680
FINAL_SAT,11,8,1776,34,SKIPPED,6680
11,8,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1776,6680
FORCED_VARS,11,8,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
