k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
15,19,RAB,1,1,49,6,0,FORCED,1,1581,1060
15,19,RAB,1,2,49,6,1,FORCED,2,1581,1810
15,19,RAB,1,3,49,6,2,FORCED,3,1581,2430
15,19,RAB,1,4,49,6,3,FORCED,4,1581,2850
15,19,RAB,1,5,49,6,4,FORCED,5,1581,3170
15,19,RAB,1,6,49,4,0,FORCED,6,1581,3330
15,19,RAB,1,7,49,5,0,FORCED,7,1581,3490
15,19,RAB,1,8,49,3,0,not_forced,7,1581,3660
15,19,RAB,1,9,49,4,1,FORCED,8,1581,3770
15,19,RAB,1,10,49,4,2,FORCED,9,1581,3860
15,19,RAB,1,11,49,5,1,FORCED,10,1581,3950
15,19,RAB,1,12,49,5,2,FORCED,11,1581,4020
15,19,RAB,1,13,49,3,1,not_forced,11,1581,4090
15,19,RAB,1,14,49,3,2,not_forced,11,1581,4160
15,19,RAB,1,15,49,4,3,FORCED,12,1581,4220
15,19,RAB,1,16,49,4,4,FORCED,13,1581,4270
15,19,RAB,1,17,49,5,3,FORCED,14,1581,4320
15,19,RAB,1,18,49,5,4,FORCED,15,1581,4360
FINAL_RAB,15,19,1581,34,SKIPPED,4370
FINAL_SAT,15,19,1581,34,SKIPPED,4370
15,19,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1581,4370
FORCED_VARS,15,19,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
