k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
17,4,RAB,1,1,49,6,0,FORCED,1,2014,1630
17,4,RAB,1,2,49,6,1,FORCED,2,2014,2890
17,4,RAB,1,3,49,6,2,FORCED,3,2014,3890
17,4,RAB,1,4,49,5,0,FORCED,4,2014,4660
17,4,RAB,1,5,49,5,1,FORCED,5,2014,5340
17,4,RAB,1,6,49,5,2,FORCED,6,2014,5900
17,4,RAB,1,7,49,6,3,FORCED,7,2014,6300
17,4,RAB,1,8,49,6,4,FORCED,8,2014,6620
17,4,RAB,1,9,49,4,0,FORCED,9,2014,6820
17,4,RAB,1,10,49,4,1,FORCED,10,2014,6990
17,4,RAB,1,11,49,4,2,FORCED,11,2014,7130
17,4,RAB,1,12,49,5,3,FORCED,12,2014,7230
17,4,RAB,1,13,49,5,4,FORCED,13,2014,7320
17,4,RAB,1,14,49,4,3,FORCED,14,2014,7380
17,4,RAB,1,15,49,4,4,FORCED,15,2014,7430
FINAL_RAB,17,4,2014,34,SKIPPED,7440
FINAL_SAT,17,4,2014,34,SKIPPED,7440
17,4,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,2014,7440
FORCED_VARS,17,4,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
