k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
13,10,RAB,1,1,42,4,0,FORCED,1,1776,1400
13,10,RAB,1,2,42,5,0,FORCED,2,1776,2630
13,10,RAB,1,3,42,6,0,FORCED,3,1776,3630
13,10,RAB,1,4,42,4,1,FORCED,4,1776,4300
13,10,RAB,1,5,42,4,2,FORCED,5,1776,4870
13,10,RAB,1,6,42,5,1,FORCED,6,1776,5360
13,10,RAB,1,7,42,5,2,FORCED,7,1776,5750
13,10,RAB,1,8,42,6,1,FORCED,8,1776,6060
13,10,RAB,1,9,42,6,2,FORCED,9,1776,6300
13,10,RAB,1,10,42,4,3,FORCED,10,1776,6450
13,10,RAB,1,11,42,5,3,FORCED,11,1776,6570
13,10,RAB,1,12,42,6,3,FORCED,12,1776,6660
13,10,RAB,1,13,42,2,0,not_forced,12,1776,6760
13,10,RAB,1,14,42,3,0,not_forced,12,1776,6850
13,10,RAB,1,15,42,2,1,not_forced,12,1776,6940
13,10,RAB,1,16,42,2,2,not_forced,12,1776,7020
13,10,RAB,1,17,42,3,1,not_forced,12,1776,7110
13,10,RAB,1,18,42,3,2,not_forced,12,1776,7190
13,10,RAB,1,19,42,2,3,not_forced,12,1776,7280
13,10,RAB,1,20,42,3,3,not_forced,12,1776,7360
13,10,RAB,1,21,42,4,4,not_forced,12,1776,7440
13,10,RAB,1,22,42,4,5,not_forced,12,1776,7530
13,10,RAB,1,23,42,5,4,not_forced,12,1776,7610
13,10,RAB,1,24,42,5,5,not_forced,12,1776,7690
13,10,RAB,1,25,42,6,4,not_forced,12,1776,7790
13,10,RAB,1,26,42,6,5,not_forced,12,1776,7870
13,10,RAB,1,27,42,1,0,not_forced,12,1776,8090
13,10,RAB,1,28,42,2,4,not_forced,12,1776,8180
13,10,RAB,1,29,42,2,5,not_forced,12,1776,8270
13,10,RAB,1,30,42,3,4,not_forced,12,1776,8370
13,10,RAB,1,31,42,3,5,not_forced,12,1776,8460
13,10,RAB,1,32,42,4,6,not_forced,12,1776,8570
13,10,RAB,1,33,42,5,6,not_forced,12,1776,8670
13,10,RAB,1,34,42,6,6,not_forced,12,1776,8770
13,10,RAB,1,35,42,1,1,not_forced,12,1776,8980
13,10,RAB,1,36,42,1,2,not_forced,12,1776,9190
13,10,RAB,1,37,42,1,3,not_forced,12,1776,9400
13,10,RAB,1,38,42,2,6,not_forced,12,1776,9600
13,10,RAB,1,39,42,3,6,not_forced,12,1776,9810
13,10,RAB,1,40,42,1,4,not_forced,12,1776,10020
13,10,RAB,1,41,42,1,5,not_forced,12,1776,10230
13,10,RAB,1,42,42,1,6,not_forced,12,1776,10440
FINAL_RAB,13,10,1776,37,true,10530
13,10,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1776,10530
FORCED_VARS,13,10,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
