k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
15,7,RAB,1,1,49,6,0,FORCED,1,1887,1530
15,7,RAB,1,2,49,6,1,FORCED,2,1887,2580
15,7,RAB,1,3,49,6,2,FORCED,3,1887,3450
15,7,RAB,1,4,49,5,0,FORCED,4,1887,4120
15,7,RAB,1,5,49,6,3,FORCED,5,1887,4670
15,7,RAB,1,6,49,6,4,FORCED,6,1887,5080
15,7,RAB,1,7,49,4,0,FORCED,7,1887,5320
15,7,RAB,1,8,49,5,1,FORCED,8,1887,5520
15,7,RAB,1,9,49,5,2,FORCED,9,1887,5690
15,7,RAB,1,10,49,4,1,FORCED,10,1887,5810
15,7,RAB,1,11,49,4,2,FORCED,11,1887,5910
15,7,RAB,1,12,49,5,3,FORCED,12,1887,5990
15,7,RAB,1,13,49,5,4,FORCED,13,1887,6060
15,7,RAB,1,14,49,3,0,not_forced,13,1887,6120
15,7,RAB,1,15,49,4,3,FORCED,14,1887,6180
15,7,RAB,1,16,49,4,4,FORCED,15,1887,6230
FINAL_RAB,15,7,1887,34,SKIPPED,6240
FINAL_SAT,15,7,1887,34,SKIPPED,6240
15,7,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1887,6240
FORCED_VARS,15,7,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
