k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
9,12,RAB,1,1,49,6,0,FORCED,1,1692,1500
9,12,RAB,1,2,49,6,1,FORCED,2,1692,2450
9,12,RAB,1,3,49,5,0,FORCED,3,1692,3130
9,12,RAB,1,4,49,5,1,FORCED,4,1692,3700
9,12,RAB,1,5,49,4,0,FORCED,5,1692,4140
9,12,RAB,1,6,49,4,1,FORCED,6,1692,4490
9,12,RAB,1,7,49,6,2,FORCED,7,1692,4740
9,12,RAB,1,8,49,6,3,FORCED,8,1692,4930
9,12,RAB,1,9,49,5,2,FORCED,9,1692,5050
9,12,RAB,1,10,49,5,3,FORCED,10,1692,5160
9,12,RAB,1,11,49,6,4,not_forced,10,1692,5280
9,12,RAB,1,12,49,6,5,not_forced,10,1692,5400
9,12,RAB,1,13,49,4,2,FORCED,11,1692,5480
9,12,RAB,1,14,49,4,3,FORCED,12,1692,5550
9,12,RAB,1,15,49,2,0,not_forced,12,1692,5620
9,12,RAB,1,16,49,2,1,not_forced,12,1692,5680
9,12,RAB,1,17,49,3,0,not_forced,12,1692,5750
9,12,RAB,1,18,49,3,1,not_forced,12,1692,5820
9,12,RAB,1,19,49,5,4,not_forced,12,1692,5890
9,12,RAB,1,20,49,5,5,not_forced,12,1692,5960
9,12,RAB,1,21,49,4,4,not_forced,12,1692,6030
9,12,RAB,1,22,49,4,5,not_forced,12,1692,6110
9,12,RAB,1,23,49,1,0,not_forced,12,1692,6190
9,12,RAB,1,24,49,1,1,not_forced,12,1692,6270
9,12,RAB,1,25,49,6,6,not_forced,12,1692,6490
9,12,RAB,1,26,49,2,2,not_forced,12,1692,6570
9,12,RAB,1,27,49,2,3,not_forced,12,1692,6650
9,12,RAB,1,28,49,3,2,not_forced,12,1692,6720
9,12,RAB,1,29,49,3,3,not_forced,12,1692,6800
9,12,RAB,1,30,49,5,6,not_forced,12,1692,7280
9,12,RAB,1,31,49,1,2,not_forced,12,1692,7480
9,12,RAB,1,32,49,1,3,not_forced,12,1692,7680
9,12,RAB,1,33,49,4,6,not_forced,12,1692,8140
9,12,RAB,1,34,49,2,4,not_forced,12,1692,8240
9,12,RAB,1,35,49,2,5,not_forced,12,1692,8340
9,12,RAB,1,36,49,3,4,not_forced,12,1692,8470
9,12,RAB,1,37,49,3,5,not_forced,12,1692,8570
9,12,RAB,1,38,49,0,0,not_forced,12,1692,8800
9,12,RAB,1,39,49,0,1,not_forced,12,1692,9030
9,12,RAB,1,40,49,1,4,not_forced,12,1692,9270
9,12,RAB,1,41,49,1,5,not_forced,12,1692,9500
9,12,RAB,1,42,49,2,6,not_forced,12,1692,9980
9,12,RAB,1,43,49,3,6,not_forced,12,1692,10480
9,12,RAB,1,44,49,0,2,not_forced,12,1692,10940
9,12,RAB,1,45,49,0,3,not_forced,12,1692,11400
9,12,RAB,1,46,49,1,6,not_forced,12,1692,11860
9,12,RAB,1,47,49,0,4,not_forced,12,1692,12310
9,12,RAB,1,48,49,0,5,not_forced,12,1692,12770
9,12,RAB,1,49,49,0,6,not_forced,12,1692,13220
FINAL_RAB,9,12,1692,37,true,13480
9,12,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1692,13480
FORCED_VARS,9,12,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
