k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
12,5,RAB,1,1,49,6,0,FORCED,1,1824,1440
12,5,RAB,1,2,49,6,1,FORCED,2,1824,2460
12,5,RAB,1,3,49,6,2,FORCED,3,1824,3250
12,5,RAB,1,4,49,6,3,FORCED,4,1824,3870
12,5,RAB,1,5,49,5,0,FORCED,5,1824,4340
12,5,RAB,1,6,49,4,0,FORCED,6,1824,4710
12,5,RAB,1,7,49,5,1,FORCED,7,1824,5010
12,5,RAB,1,8,49,5,2,FORCED,8,1824,5240
12,5,RAB,1,9,49,5,3,FORCED,9,1824,5430
12,5,RAB,1,10,49,4,1,FORCED,10,1824,5570
12,5,RAB,1,11,49,4,2,FORCED,11,1824,5680
12,5,RAB,1,12,49,4,3,FORCED,12,1824,5770
12,5,RAB,1,13,49,6,4,not_forced,12,1824,5890
12,5,RAB,1,14,49,3,0,not_forced,12,1824,5990
12,5,RAB,1,15,49,3,1,not_forced,12,1824,6080
12,5,RAB,1,16,49,6,5,not_forced,12,1824,6190
12,5,RAB,1,17,49,2,0,not_forced,12,1824,6270
12,5,RAB,1,18,49,3,2,not_forced,12,1824,6350
12,5,RAB,1,19,49,3,3,not_forced,12,1824,6420
12,5,RAB,1,20,49,5,4,not_forced,12,1824,6510
12,5,RAB,1,21,49,2,1,not_forced,12,1824,6590
12,5,RAB,1,22,49,4,4,not_forced,12,1824,6670
12,5,RAB,1,23,49,5,5,not_forced,12,1824,6820
12,5,RAB,1,24,49,2,2,not_forced,12,1824,6930
12,5,RAB,1,25,49,2,3,not_forced,12,1824,7030
12,5,RAB,1,26,49,1,0,not_forced,12,1824,7180
12,5,RAB,1,27,49,4,5,not_forced,12,1824,7370
12,5,RAB,1,28,49,3,4,not_forced,12,1824,7570
12,5,RAB,1,29,49,1,1,not_forced,12,1824,7710
12,5,RAB,1,30,49,1,2,not_forced,12,1824,7910
12,5,RAB,1,31,49,1,3,not_forced,12,1824,8110
RESUME_JUMP_FINAL,12,5,12,1824,8110
FINAL_RAB,12,5,1824,37,true,8590
12,5,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1824,8590
FORCED_VARS,12,5,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
