k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
21,18,RAB,1,1,49,5,0,FORCED,1,1829,1070
21,18,RAB,1,2,49,5,1,FORCED,2,1829,1980
21,18,RAB,1,3,49,6,0,FORCED,3,1829,2800
21,18,RAB,1,4,49,6,1,FORCED,4,1829,3470
21,18,RAB,1,5,49,5,2,FORCED,5,1829,3970
21,18,RAB,1,6,49,5,3,FORCED,6,1829,4380
21,18,RAB,1,7,49,5,4,FORCED,7,1829,4710
21,18,RAB,1,8,49,5,5,FORCED,8,1829,4920
21,18,RAB,1,9,49,6,2,FORCED,9,1829,5060
21,18,RAB,1,10,49,6,3,FORCED,10,1829,5170
21,18,RAB,1,11,49,6,4,FORCED,11,1829,5250
21,18,RAB,1,12,49,6,5,FORCED,12,1829,5310
FINAL_RAB,21,18,1829,37,SKIPPED,5320
FINAL_SAT,21,18,1829,37,SKIPPED,5320
21,18,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,12,1829,5320
FORCED_VARS,21,18,12,p50 p51 p52 p53 p54 p55 p60 p61 p62 p63 p64 p65
