k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
17,14,RAB,1,1,35,3,0,FORCED,1,1802,990
17,14,RAB,1,2,35,3,1,FORCED,2,1802,1870
17,14,RAB,1,3,35,3,2,FORCED,3,1802,2630
17,14,RAB,1,4,35,4,0,FORCED,4,1802,3300
17,14,RAB,1,5,35,4,1,FORCED,5,1802,3880
17,14,RAB,1,6,35,4,2,FORCED,6,1802,4380
17,14,RAB,1,7,35,5,0,FORCED,7,1802,4800
17,14,RAB,1,8,35,5,1,FORCED,8,1802,5150
17,14,RAB,1,9,35,5,2,FORCED,9,1802,5440
17,14,RAB,1,10,35,6,0,FORCED,10,1802,5670
17,14,RAB,1,11,35,6,1,FORCED,11,1802,5840
17,14,RAB,1,12,35,6,2,FORCED,12,1802,5980
17,14,RAB,1,13,35,2,0,not_forced,12,1802,6120
17,14,RAB,1,14,35,2,1,not_forced,12,1802,6260
17,14,RAB,1,15,35,2,2,not_forced,12,1802,6400
17,14,RAB,1,16,35,3,3,FORCED,13,1802,6490
17,14,RAB,1,17,35,3,4,FORCED,14,1802,6570
17,14,RAB,1,18,35,4,3,FORCED,15,1802,6640
17,14,RAB,1,19,35,4,4,FORCED,16,1802,6690
17,14,RAB,1,20,35,5,3,FORCED,17,1802,6740
17,14,RAB,1,21,35,5,4,FORCED,18,1802,6790
FINAL_RAB,17,14,1802,31,SKIPPED,6790
FINAL_SAT,17,14,1802,31,SKIPPED,6790
17,14,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,18,1802,6790
FORCED_VARS,17,14,18,p30 p31 p32 p33 p34 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62
