k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
11,20,RAB,1,1,49,5,0,FORCED,1,1392,910
11,20,RAB,1,2,49,6,0,FORCED,2,1392,1600
11,20,RAB,1,3,49,4,0,not_forced,2,1392,2240
11,20,RAB,1,4,49,5,1,FORCED,3,1392,2640
11,20,RAB,1,5,49,5,2,FORCED,4,1392,2990
11,20,RAB,1,6,49,5,3,FORCED,5,1392,3270
11,20,RAB,1,7,49,5,4,FORCED,6,1392,3470
11,20,RAB,1,8,49,6,1,FORCED,7,1392,3610
11,20,RAB,1,9,49,6,2,FORCED,8,1392,3720
11,20,RAB,1,10,49,6,3,FORCED,9,1392,3820
11,20,RAB,1,11,49,6,4,FORCED,10,1392,3890
11,20,RAB,1,12,49,4,1,not_forced,10,1392,3980
11,20,RAB,1,13,49,4,2,not_forced,10,1392,4060
11,20,RAB,1,14,49,4,3,not_forced,10,1392,4140
11,20,RAB,1,15,49,4,4,not_forced,10,1392,4230
11,20,RAB,1,16,49,5,5,not_forced,10,1392,4340
11,20,RAB,1,17,49,5,6,not_forced,10,1392,4430
11,20,RAB,1,18,49,6,5,not_forced,10,1392,4510
11,20,RAB,1,19,49,6,6,not_forced,10,1392,4610
11,20,RAB,1,20,49,0,0,not_forced,10,1392,4690
11,20,RAB,1,21,49,1,0,not_forced,10,1392,4770
11,20,RAB,1,22,49,2,0,not_forced,10,1392,4850
11,20,RAB,1,23,49,3,0,not_forced,10,1392,4930
11,20,RAB,1,24,49,4,5,not_forced,10,1392,5070
11,20,RAB,1,25,49,4,6,not_forced,10,1392,5180
11,20,RAB,1,26,49,0,1,not_forced,10,1392,6410
11,20,RAB,1,27,49,0,2,not_forced,10,1392,7630
11,20,RAB,1,28,49,0,3,not_forced,10,1392,8840
11,20,RAB,1,29,49,0,4,not_forced,10,1392,10070
11,20,RAB,1,30,49,1,1,not_forced,10,1392,11280
11,20,RAB,1,31,49,1,2,not_forced,10,1392,12500
11,20,RAB,1,32,49,1,3,not_forced,10,1392,13720
11,20,RAB,1,33,49,1,4,not_forced,10,1392,14940
11,20,RAB,1,34,49,2,1,not_forced,10,1392,16170
11,20,RAB,1,35,49,2,2,not_forced,10,1392,17380
11,20,RAB,1,36,49,2,3,not_forced,10,1392,18600
11,20,RAB,1,37,49,2,4,not_forced,10,1392,19880
11,20,RAB,1,38,49,3,1,not_forced,10,1392,21130
11,20,RAB,1,39,49,3,2,not_forced,10,1392,22350
11,20,RAB,1,40,49,3,3,not_forced,10,1392,23570
11,20,RAB,1,41,49,3,4,not_forced,10,1392,24790
11,20,RAB,1,42,49,0,5,not_forced,10,1392,26010
11,20,RAB,1,43,49,0,6,not_forced,10,1392,27220
11,20,RAB,1,44,49,1,5,not_forced,10,1392,28430
11,20,RAB,1,45,49,1,6,not_forced,10,1392,29650
11,20,RAB,1,46,49,2,5,not_forced,10,1392,30860
11,20,RAB,1,47,49,2,6,not_forced,10,1392,32080
11,20,RAB,1,48,49,3,5,not_forced,10,1392,33300
11,20,RAB,1,49,49,3,6,not_forced,10,1392,34520
FINAL_RAB,11,20,1392,39,true,35740
11,20,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,10,1392,35740
FORCED_VARS,11,20,10,p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
