k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
4,8,RAB,1,1,42,4,0,FORCED,1,1702,1180
4,8,RAB,1,2,42,5,0,FORCED,2,1702,2190
4,8,RAB,1,3,42,6,0,FORCED,3,1702,3050
4,8,RAB,1,4,42,4,1,FORCED,4,1702,3640
4,8,RAB,1,5,42,5,1,FORCED,5,1702,4160
4,8,RAB,1,6,42,6,1,FORCED,6,1702,4580
4,8,RAB,1,7,42,3,0,not_forced,6,1702,5050
4,8,RAB,1,8,42,4,2,FORCED,7,1702,5340
4,8,RAB,1,9,42,5,2,FORCED,8,1702,5590
4,8,RAB,1,10,42,6,2,FORCED,9,1702,5780
4,8,RAB,1,11,42,3,1,not_forced,9,1702,5980
4,8,RAB,1,12,42,3,2,not_forced,9,1702,6170
4,8,RAB,1,13,42,4,3,FORCED,10,1702,6300
4,8,RAB,1,14,42,5,3,FORCED,11,1702,6410
4,8,RAB,1,15,42,6,3,FORCED,12,1702,6490
4,8,RAB,1,16,42,3,3,not_forced,12,1702,6580
4,8,RAB,1,17,42,4,4,not_forced,12,1702,6660
4,8,RAB,1,18,42,5,4,not_forced,12,1702,6750
4,8,RAB,1,19,42,6,4,not_forced,12,1702,6830
4,8,RAB,1,20,42,1,0,not_forced,12,1702,6920
4,8,RAB,1,21,42,2,0,not_forced,12,1702,7020
4,8,RAB,1,22,42,1,1,not_forced,12,1702,7120
4,8,RAB,1,23,42,2,1,not_forced,12,1702,7220
RESUME_JUMP_FINAL,4,8,12,1702,7220
FINAL_RAB,4,8,1702,37,true,8010
4,8,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,12,1702,8010
FORCED_VARS,4,8,12,p40 p41 p42 p43 p50 p51 p52 p53 p60 p61 p62 p63
