k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
10,11,RAB,1,1,42,5,0,FORCED,1,1692,1560
10,11,RAB,1,2,42,6,0,FORCED,2,1692,2670
10,11,RAB,1,3,42,5,1,FORCED,3,1692,3350
10,11,RAB,1,4,42,6,1,FORCED,4,1692,3920
10,11,RAB,1,5,42,5,2,FORCED,5,1692,4340
10,11,RAB,1,6,42,5,3,FORCED,6,1692,4680
10,11,RAB,1,7,42,6,2,FORCED,7,1692,4930
10,11,RAB,1,8,42,6,3,FORCED,8,1692,5140
10,11,RAB,1,9,42,1,0,not_forced,8,1692,5330
10,11,RAB,1,10,42,2,0,not_forced,8,1692,5530
10,11,RAB,1,11,42,3,0,not_forced,8,1692,5720
10,11,RAB,1,12,42,4,0,not_forced,8,1692,5920
10,11,RAB,1,13,42,1,1,not_forced,8,1692,6110
10,11,RAB,1,14,42,2,1,not_forced,8,1692,6290
10,11,RAB,1,15,42,3,1,not_forced,8,1692,6470
10,11,RAB,1,16,42,4,1,not_forced,8,1692,6660
10,11,RAB,1,17,42,5,4,not_forced,8,1692,6880
10,11,RAB,1,18,42,5,5,not_forced,8,1692,7100
10,11,RAB,1,19,42,5,6,not_forced,8,1692,7320
10,11,RAB,1,20,42,6,4,not_forced,8,1692,7540
10,11,RAB,1,21,42,6,5,not_forced,8,1692,7770
10,11,RAB,1,22,42,6,6,not_forced,8,1692,7980
10,11,RAB,1,23,42,1,2,not_forced,8,1692,8170
10,11,RAB,1,24,42,1,3,not_forced,8,1692,8370
10,11,RAB,1,25,42,2,2,not_forced,8,1692,8560
10,11,RAB,1,26,42,2,3,not_forced,8,1692,8760
10,11,RAB,1,27,42,3,2,not_forced,8,1692,8960
10,11,RAB,1,28,42,3,3,not_forced,8,1692,9160
10,11,RAB,1,29,42,4,2,not_forced,8,1692,9370
10,11,RAB,1,30,42,4,3,not_forced,8,1692,9570
10,11,RAB,1,31,42,1,4,not_forced,8,1692,10030
10,11,RAB,1,32,42,1,5,not_forced,8,1692,10290
10,11,RAB,1,33,42,1,6,not_forced,8,1692,10530
10,11,RAB,1,34,42,2,4,not_forced,8,1692,11000
10,11,RAB,1,35,42,2,5,not_forced,8,1692,11260
10,11,RAB,1,36,42,2,6,not_forced,8,1692,11700
10,11,RAB,1,37,42,3,4,not_forced,8,1692,11970
10,11,RAB,1,38,42,3,5,not_forced,8,1692,12240
10,11,RAB,1,39,42,3,6,not_forced,8,1692,12500
10,11,RAB,1,40,42,4,4,not_forced,8,1692,12770
10,11,RAB,1,41,42,4,5,not_forced,8,1692,13040
10,11,RAB,1,42,42,4,6,not_forced,8,1692,13310
FINAL_RAB,10,11,1692,41,true,16700
10,11,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,8,1692,16700
FORCED_VARS,10,11,8,p50 p51 p52 p53 p60 p61 p62 p63
