k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
17,21,RAB,1,1,49,6,0,FORCED,1,1325,860
17,21,RAB,1,2,49,6,1,FORCED,2,1325,1480
17,21,RAB,1,3,49,6,2,FORCED,3,1325,1970
17,21,RAB,1,4,49,6,3,FORCED,4,1325,2250
17,21,RAB,1,5,49,6,4,FORCED,5,1325,2450
17,21,RAB,1,6,49,6,5,not_forced,5,1325,3570
17,21,RAB,1,7,49,2,0,not_forced,5,1325,3640
17,21,RAB,1,8,49,2,1,not_forced,5,1325,3710
17,21,RAB,1,9,49,2,2,not_forced,5,1325,3790
17,21,RAB,1,10,49,3,0,not_forced,5,1325,3860
17,21,RAB,1,11,49,3,1,not_forced,5,1325,3930
17,21,RAB,1,12,49,3,2,not_forced,5,1325,4000
17,21,RAB,1,13,49,4,0,not_forced,5,1325,4070
17,21,RAB,1,14,49,4,1,not_forced,5,1325,4140
17,21,RAB,1,15,49,4,2,not_forced,5,1325,4210
17,21,RAB,1,16,49,5,0,not_forced,5,1325,4300
17,21,RAB,1,17,49,5,1,not_forced,5,1325,4370
17,21,RAB,1,18,49,5,2,not_forced,5,1325,4440
RESUME_JUMP_FINAL,17,21,5,1325,4440
FINAL_RAB,17,21,1325,44,true,4870
17,21,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,5,1325,4870
FORCED_VARS,17,21,5,p60 p61 p62 p63 p64
