k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
11,21,RAB,1,1,49,6,0,FORCED,1,1200,910
11,21,RAB,1,2,49,6,1,FORCED,2,1200,1330
11,21,RAB,1,3,49,6,2,FORCED,3,1200,1670
11,21,RAB,1,4,49,6,3,FORCED,4,1200,1940
11,21,RAB,1,5,49,6,4,FORCED,5,1200,2100
11,21,RAB,1,6,49,2,0,not_forced,5,1200,2160
11,21,RAB,1,7,49,3,0,not_forced,5,1200,2210
11,21,RAB,1,8,49,4,0,not_forced,5,1200,2270
11,21,RAB,1,9,49,5,0,not_forced,5,1200,2330
11,21,RAB,1,10,49,6,5,not_forced,5,1200,2410
11,21,RAB,1,11,49,6,6,not_forced,5,1200,2500
11,21,RAB,1,12,49,0,0,not_forced,5,1200,2580
11,21,RAB,1,13,49,1,0,not_forced,5,1200,2650
11,21,RAB,1,14,49,2,1,not_forced,5,1200,2760
11,21,RAB,1,15,49,2,2,not_forced,5,1200,2860
11,21,RAB,1,16,49,2,3,not_forced,5,1200,2960
11,21,RAB,1,17,49,2,4,not_forced,5,1200,3070
11,21,RAB,1,18,49,3,1,not_forced,5,1200,3160
11,21,RAB,1,19,49,3,2,not_forced,5,1200,3240
11,21,RAB,1,20,49,3,3,not_forced,5,1200,3330
11,21,RAB,1,21,49,3,4,not_forced,5,1200,3410
11,21,RAB,1,22,49,4,1,not_forced,5,1200,3510
11,21,RAB,1,23,49,4,2,not_forced,5,1200,3590
11,21,RAB,1,24,49,4,3,not_forced,5,1200,3680
11,21,RAB,1,25,49,4,4,not_forced,5,1200,3760
11,21,RAB,1,26,49,5,1,not_forced,5,1200,3840
11,21,RAB,1,27,49,5,2,not_forced,5,1200,3930
11,21,RAB,1,28,49,5,3,not_forced,5,1200,4010
11,21,RAB,1,29,49,5,4,not_forced,5,1200,4090
11,21,RAB,1,30,49,0,1,not_forced,5,1200,6190
11,21,RAB,1,31,49,0,2,not_forced,5,1200,8250
11,21,RAB,1,32,49,0,3,not_forced,5,1200,10300
11,21,RAB,1,33,49,0,4,not_forced,5,1200,12360
11,21,RAB,1,34,49,1,1,not_forced,5,1200,14450
11,21,RAB,1,35,49,1,2,not_forced,5,1200,16550
11,21,RAB,1,36,49,1,3,not_forced,5,1200,18650
11,21,RAB,1,37,49,1,4,not_forced,5,1200,20710
11,21,RAB,1,38,49,2,5,not_forced,5,1200,20890
11,21,RAB,1,39,49,2,6,not_forced,5,1200,21000
11,21,RAB,1,40,49,3,5,not_forced,5,1200,21120
11,21,RAB,1,41,49,3,6,not_forced,5,1200,21230
11,21,RAB,1,42,49,4,5,not_forced,5,1200,21340
11,21,RAB,1,43,49,4,6,not_forced,5,1200,21440
11,21,RAB,1,44,49,5,5,not_forced,5,1200,21550
11,21,RAB,1,45,49,5,6,not_forced,5,1200,21640
11,21,RAB,1,46,49,0,5,not_forced,5,1200,24340
11,21,RAB,1,47,49,0,6,not_forced,5,1200,26440
11,21,RAB,1,48,49,1,5,not_forced,5,1200,29140
11,21,RAB,1,49,49,1,6,not_forced,5,1200,31260
FINAL_RAB,11,21,1200,44,true,41420
11,21,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,5,1200,41420
FORCED_VARS,11,21,5,p60 p61 p62 p63 p64
