k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
20,7,RAB,1,1,49,6,0,FORCED,1,2035,1600
20,7,RAB,1,2,49,6,1,FORCED,2,2035,2890
20,7,RAB,1,3,49,6,2,FORCED,3,2035,3950
20,7,RAB,1,4,49,6,3,FORCED,4,2035,4770
20,7,RAB,1,5,49,5,0,FORCED,5,2035,5300
20,7,RAB,1,6,49,5,1,FORCED,6,2035,5760
20,7,RAB,1,7,49,5,2,FORCED,7,2035,6140
20,7,RAB,1,8,49,5,3,FORCED,8,2035,6450
20,7,RAB,1,9,49,4,0,FORCED,9,2035,6660
20,7,RAB,1,10,49,4,1,FORCED,10,2035,6850
20,7,RAB,1,11,49,4,2,FORCED,11,2035,6990
20,7,RAB,1,12,49,4,3,FORCED,12,2035,7110
20,7,RAB,1,13,49,6,4,FORCED,13,2035,7200
20,7,RAB,1,14,49,3,0,not_forced,13,2035,7270
20,7,RAB,1,15,49,3,1,not_forced,13,2035,7340
20,7,RAB,1,16,49,3,2,not_forced,13,2035,7410
20,7,RAB,1,17,49,3,3,not_forced,13,2035,7470
20,7,RAB,1,18,49,5,4,FORCED,14,2035,7530
20,7,RAB,1,19,49,6,5,not_forced,14,2035,7610
20,7,RAB,1,20,49,6,6,not_forced,14,2035,7680
20,7,RAB,1,21,49,4,4,FORCED,15,2035,7730
FINAL_RAB,20,7,2035,34,SKIPPED,7740
FINAL_SAT,20,7,2035,34,SKIPPED,7740
20,7,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,2035,7740
FORCED_VARS,20,7,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
