k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
5,21,RAB,1,1,49,6,0,FORCED,1,1150,820
5,21,RAB,1,2,49,6,1,FORCED,2,1150,1300
5,21,RAB,1,3,49,6,2,FORCED,3,1150,1620
5,21,RAB,1,4,49,6,3,FORCED,4,1150,1830
5,21,RAB,1,5,49,6,4,not_forced,4,1150,2150
5,21,RAB,1,6,49,6,5,not_forced,4,1150,2490
5,21,RAB,1,7,49,2,0,not_forced,4,1150,2630
5,21,RAB,1,8,49,3,0,not_forced,4,1150,2780
5,21,RAB,1,9,49,4,0,not_forced,4,1150,2920
5,21,RAB,1,10,49,5,0,not_forced,4,1150,3070
5,21,RAB,1,11,49,2,1,not_forced,4,1150,3230
5,21,RAB,1,12,49,3,1,not_forced,4,1150,3380
5,21,RAB,1,13,49,4,1,not_forced,4,1150,3520
5,21,RAB,1,14,49,5,1,not_forced,4,1150,3670
5,21,RAB,1,15,49,2,2,not_forced,4,1150,3840
5,21,RAB,1,16,49,3,2,not_forced,4,1150,4010
5,21,RAB,1,17,49,4,2,not_forced,4,1150,4170
5,21,RAB,1,18,49,5,2,not_forced,4,1150,4330
5,21,RAB,1,19,49,0,0,not_forced,4,1150,4510
5,21,RAB,1,20,49,1,0,not_forced,4,1150,4690
RESUME_JUMP_FINAL,5,21,4,1150,4690
FINAL_RAB,5,21,1150,45,true,11070
5,21,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,4,1150,11070
FORCED_VARS,5,21,4,p60 p61 p62 p63
