k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
2,12,RAB,1,1,49,6,0,FORCED,1,1548,1330
2,12,RAB,1,2,49,6,1,FORCED,2,1548,2100
2,12,RAB,1,3,49,5,0,FORCED,3,1548,2690
2,12,RAB,1,4,49,5,1,FORCED,4,1548,3160
2,12,RAB,1,5,49,4,0,FORCED,5,1548,3540
2,12,RAB,1,6,49,6,2,FORCED,6,1548,3830
2,12,RAB,1,7,49,4,1,FORCED,7,1548,4030
2,12,RAB,1,8,49,6,3,not_forced,7,1548,4240
2,12,RAB,1,9,49,5,2,FORCED,8,1548,4380
2,12,RAB,1,10,49,6,4,not_forced,8,1548,4530
2,12,RAB,1,11,49,4,2,FORCED,9,1548,4630
2,12,RAB,1,12,49,5,3,not_forced,9,1548,4760
2,12,RAB,1,13,49,2,0,not_forced,9,1548,4880
2,12,RAB,1,14,49,3,0,not_forced,9,1548,5000
2,12,RAB,1,15,49,6,5,not_forced,9,1548,5140
2,12,RAB,1,16,49,4,3,not_forced,9,1548,5250
2,12,RAB,1,17,49,2,1,not_forced,9,1548,5370
2,12,RAB,1,18,49,3,1,not_forced,9,1548,5480
2,12,RAB,1,19,49,5,4,not_forced,9,1548,5600
2,12,RAB,1,20,49,1,0,not_forced,9,1548,5770
2,12,RAB,1,21,49,4,4,not_forced,9,1548,5910
2,12,RAB,1,22,49,5,5,not_forced,9,1548,6060
2,12,RAB,1,23,49,1,1,not_forced,9,1548,6440
2,12,RAB,1,24,49,2,2,not_forced,9,1548,6590
2,12,RAB,1,25,49,3,2,not_forced,9,1548,6850
2,12,RAB,1,26,49,4,5,not_forced,9,1548,7060
2,12,RAB,1,27,49,6,6,not_forced,9,1548,8720
2,12,RAB,1,28,49,1,2,not_forced,9,1548,9280
RESUME_JUMP_FINAL,2,12,9,1548,9280
FINAL_RAB,2,12,1548,40,true,20700
2,12,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,9,1548,20700
FORCED_VARS,2,12,9,p40 p41 p42 p50 p51 p52 p60 p61 p62
