k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
15,8,RAB,1,1,42,4,0,FORCED,1,1887,1260
15,8,RAB,1,2,42,5,0,FORCED,2,1887,2340
15,8,RAB,1,3,42,6,0,FORCED,3,1887,3270
15,8,RAB,1,4,42,3,0,not_forced,3,1887,4370
15,8,RAB,1,5,42,4,1,FORCED,4,1887,5050
15,8,RAB,1,6,42,4,2,FORCED,5,1887,5640
15,8,RAB,1,7,42,5,1,FORCED,6,1887,6150
15,8,RAB,1,8,42,5,2,FORCED,7,1887,6570
15,8,RAB,1,9,42,6,1,FORCED,8,1887,6900
15,8,RAB,1,10,42,6,2,FORCED,9,1887,7170
15,8,RAB,1,11,42,3,1,not_forced,9,1887,7430
15,8,RAB,1,12,42,3,2,not_forced,9,1887,7690
15,8,RAB,1,13,42,4,3,FORCED,10,1887,7860
15,8,RAB,1,14,42,4,4,FORCED,11,1887,8010
15,8,RAB,1,15,42,5,3,FORCED,12,1887,8120
15,8,RAB,1,16,42,5,4,FORCED,13,1887,8220
15,8,RAB,1,17,42,6,3,FORCED,14,1887,8290
15,8,RAB,1,18,42,6,4,FORCED,15,1887,8360
FINAL_RAB,15,8,1887,34,SKIPPED,8360
FINAL_SAT,15,8,1887,34,SKIPPED,8360
15,8,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1887,8360
FORCED_VARS,15,8,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
