k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
15,10,RAB,1,1,42,4,0,FORCED,1,1887,1250
15,10,RAB,1,2,42,5,0,FORCED,2,1887,2330
15,10,RAB,1,3,42,6,0,FORCED,3,1887,3250
15,10,RAB,1,4,42,4,1,FORCED,4,1887,3920
15,10,RAB,1,5,42,4,2,FORCED,5,1887,4500
15,10,RAB,1,6,42,5,1,FORCED,6,1887,5000
15,10,RAB,1,7,42,5,2,FORCED,7,1887,5410
15,10,RAB,1,8,42,6,1,FORCED,8,1887,5740
15,10,RAB,1,9,42,6,2,FORCED,9,1887,6000
15,10,RAB,1,10,42,2,0,not_forced,9,1887,6270
15,10,RAB,1,11,42,3,0,not_forced,9,1887,6570
15,10,RAB,1,12,42,4,3,FORCED,10,1887,6740
15,10,RAB,1,13,42,4,4,FORCED,11,1887,6890
15,10,RAB,1,14,42,5,3,FORCED,12,1887,6990
15,10,RAB,1,15,42,5,4,FORCED,13,1887,7080
15,10,RAB,1,16,42,6,3,FORCED,14,1887,7150
15,10,RAB,1,17,42,6,4,FORCED,15,1887,7210
FINAL_RAB,15,10,1887,34,SKIPPED,7210
FINAL_SAT,15,10,1887,34,SKIPPED,7210
15,10,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,15,1887,7210
FORCED_VARS,15,10,15,p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
