k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
3,5,RAB,1,1,49,6,0,FORCED,1,1672,1510
3,5,RAB,1,2,49,6,1,FORCED,2,1672,2360
3,5,RAB,1,3,49,5,0,FORCED,3,1672,3050
3,5,RAB,1,4,49,4,0,FORCED,4,1672,3620
3,5,RAB,1,5,49,6,2,FORCED,5,1672,4050
3,5,RAB,1,6,49,5,1,FORCED,6,1672,4380
3,5,RAB,1,7,49,4,1,FORCED,7,1672,4630
3,5,RAB,1,8,49,5,2,FORCED,8,1672,4810
3,5,RAB,1,9,49,3,0,not_forced,8,1672,5040
3,5,RAB,1,10,49,4,2,FORCED,9,1672,5180
3,5,RAB,1,11,49,6,3,not_forced,9,1672,5330
3,5,RAB,1,12,49,6,4,not_forced,9,1672,5480
3,5,RAB,1,13,49,2,0,not_forced,9,1672,5660
3,5,RAB,1,14,49,3,1,not_forced,9,1672,5810
3,5,RAB,1,15,49,5,3,not_forced,9,1672,5960
3,5,RAB,1,16,49,5,4,not_forced,9,1672,6100
3,5,RAB,1,17,49,3,2,not_forced,9,1672,6250
3,5,RAB,1,18,49,2,1,not_forced,9,1672,6440
RESUME_JUMP_FINAL,3,5,9,1672,6440
FINAL_RAB,3,5,1672,40,true,17620
3,5,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,9,1672,17620
FORCED_VARS,3,5,9,p40 p41 p42 p50 p51 p52 p60 p61 p62
