k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
6,18,RAB,1,1,49,5,0,FORCED,1,1457,1020
6,18,RAB,1,2,49,6,0,FORCED,2,1457,1860
6,18,RAB,1,3,49,5,1,FORCED,3,1457,2430
6,18,RAB,1,4,49,6,1,FORCED,4,1457,2880
6,18,RAB,1,5,49,5,2,FORCED,5,1457,3200
6,18,RAB,1,6,49,6,2,FORCED,6,1457,3440
6,18,RAB,1,7,49,5,3,FORCED,7,1457,3610
6,18,RAB,1,8,49,6,3,FORCED,8,1457,3720
6,18,RAB,1,9,49,5,4,not_forced,8,1457,3840
6,18,RAB,1,10,49,6,4,not_forced,8,1457,3950
6,18,RAB,1,11,49,2,0,not_forced,8,1457,4040
6,18,RAB,1,12,49,3,0,not_forced,8,1457,4140
6,18,RAB,1,13,49,4,0,not_forced,8,1457,4230
6,18,RAB,1,14,49,2,1,not_forced,8,1457,4330
6,18,RAB,1,15,49,3,1,not_forced,8,1457,4430
6,18,RAB,1,16,49,4,1,not_forced,8,1457,4520
6,18,RAB,1,17,49,2,2,not_forced,8,1457,4620
6,18,RAB,1,18,49,3,2,not_forced,8,1457,4710
6,18,RAB,1,19,49,4,2,not_forced,8,1457,4800
6,18,RAB,1,20,49,5,5,not_forced,8,1457,4920
6,18,RAB,1,21,49,6,5,not_forced,8,1457,5050
6,18,RAB,1,22,49,2,3,not_forced,8,1457,5150
6,18,RAB,1,23,49,3,3,not_forced,8,1457,5240
6,18,RAB,1,24,49,4,3,not_forced,8,1457,5330
6,18,RAB,1,25,49,2,4,not_forced,8,1457,5450
6,18,RAB,1,26,49,3,4,not_forced,8,1457,5560
6,18,RAB,1,27,49,4,4,not_forced,8,1457,5680
6,18,RAB,1,28,49,5,6,not_forced,8,1457,5900
6,18,RAB,1,29,49,6,6,not_forced,8,1457,6130
6,18,RAB,1,30,49,2,5,not_forced,8,1457,6370
6,18,RAB,1,31,49,3,5,not_forced,8,1457,6630
6,18,RAB,1,32,49,4,5,not_forced,8,1457,6880
6,18,RAB,1,33,49,0,0,not_forced,8,1457,7120
6,18,RAB,1,34,49,1,0,not_forced,8,1457,7350
6,18,RAB,1,35,49,0,1,not_forced,8,1457,7770
6,18,RAB,1,36,49,1,1,not_forced,8,1457,8190
6,18,RAB,1,37,49,0,2,not_forced,8,1457,8610
6,18,RAB,1,38,49,1,2,not_forced,8,1457,9030
6,18,RAB,1,39,49,2,6,not_forced,8,1457,9440
6,18,RAB,1,40,49,3,6,not_forced,8,1457,9850
6,18,RAB,1,41,49,4,6,not_forced,8,1457,10270
6,18,RAB,1,42,49,0,3,not_forced,8,1457,10690
6,18,RAB,1,43,49,1,3,not_forced,8,1457,11100
6,18,RAB,1,44,49,0,4,not_forced,8,1457,11520
6,18,RAB,1,45,49,1,4,not_forced,8,1457,11930
6,18,RAB,1,46,49,0,5,not_forced,8,1457,12350
6,18,RAB,1,47,49,1,5,not_forced,8,1457,12770
6,18,RAB,1,48,49,0,6,not_forced,8,1457,13180
6,18,RAB,1,49,49,1,6,not_forced,8,1457,13600
FINAL_RAB,6,18,1457,41,true,13960
6,18,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,8,1457,13960
FORCED_VARS,6,18,8,p50 p51 p52 p53 p60 p61 p62 p63
