k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
3,6,RAB,1,1,49,6,0,FORCED,1,1628,1470
3,6,RAB,1,2,49,5,0,FORCED,2,1628,2280
3,6,RAB,1,3,49,6,1,FORCED,3,1628,2980
3,6,RAB,1,4,49,6,2,FORCED,4,1628,3490
3,6,RAB,1,5,49,5,1,FORCED,5,1628,3890
3,6,RAB,1,6,49,4,0,FORCED,6,1628,4190
3,6,RAB,1,7,49,5,2,FORCED,7,1628,4410
3,6,RAB,1,8,49,4,1,FORCED,8,1628,4570
3,6,RAB,1,9,49,3,0,not_forced,8,1628,4780
3,6,RAB,1,10,49,6,3,not_forced,8,1628,4950
3,6,RAB,1,11,49,6,4,not_forced,8,1628,5130
3,6,RAB,1,12,49,4,2,FORCED,9,1628,5240
3,6,RAB,1,13,49,2,0,not_forced,9,1628,5410
3,6,RAB,1,14,49,5,3,not_forced,9,1628,5540
3,6,RAB,1,15,49,5,4,not_forced,9,1628,5680
3,6,RAB,1,16,49,3,1,not_forced,9,1628,5810
3,6,RAB,1,17,49,6,5,not_forced,9,1628,6030
3,6,RAB,1,18,49,2,1,not_forced,9,1628,6200
3,6,RAB,1,19,49,3,2,not_forced,9,1628,6330
3,6,RAB,1,20,49,1,0,not_forced,9,1628,7100
3,6,RAB,1,21,49,4,3,not_forced,9,1628,7240
3,6,RAB,1,22,49,4,4,not_forced,9,1628,7390
3,6,RAB,1,23,49,5,5,not_forced,9,1628,7620
3,6,RAB,1,24,49,2,2,not_forced,9,1628,7820
3,6,RAB,1,25,49,6,6,not_forced,9,1628,8130
3,6,RAB,1,26,49,1,1,not_forced,9,1628,9040
3,6,RAB,1,27,49,5,6,not_forced,9,1628,9380
3,6,RAB,1,28,49,3,3,not_forced,9,1628,9610
3,6,RAB,1,29,49,3,4,not_forced,9,1628,9830
3,6,RAB,1,30,49,4,5,not_forced,9,1628,10110
3,6,RAB,1,31,49,1,2,not_forced,9,1628,11410
3,6,RAB,1,32,49,2,3,not_forced,9,1628,12150
3,6,RAB,1,33,49,2,4,not_forced,9,1628,12870
3,6,RAB,1,34,49,4,6,not_forced,9,1628,16260
RESUME_JUMP_FINAL,3,6,9,1628,16260
FINAL_RAB,3,6,1628,40,true,28140
3,6,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,9,1628,28140
FORCED_VARS,3,6,9,p40 p41 p42 p50 p51 p52 p60 p61 p62
