k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
15,1,RAB,1,1,49,6,0,FORCED,1,2091,1720
15,1,RAB,1,2,49,5,0,FORCED,2,2091,3000
15,1,RAB,1,3,49,6,1,FORCED,3,2091,4110
15,1,RAB,1,4,49,6,2,FORCED,4,2091,5030
15,1,RAB,1,5,49,4,0,FORCED,5,2091,5750
15,1,RAB,1,6,49,5,1,FORCED,6,2091,6340
15,1,RAB,1,7,49,5,2,FORCED,7,2091,6830
15,1,RAB,1,8,49,3,0,FORCED,8,2091,7230
15,1,RAB,1,9,49,6,3,FORCED,9,2091,7520
15,1,RAB,1,10,49,6,4,FORCED,10,2091,7750
15,1,RAB,1,11,49,4,1,FORCED,11,2091,7910
15,1,RAB,1,12,49,4,2,FORCED,12,2091,8040
15,1,RAB,1,13,49,5,3,FORCED,13,2091,8140
15,1,RAB,1,14,49,5,4,FORCED,14,2091,8230
15,1,RAB,1,15,49,3,1,FORCED,15,2091,8290
15,1,RAB,1,16,49,3,2,FORCED,16,2091,8350
15,1,RAB,1,17,49,4,3,FORCED,17,2091,8400
15,1,RAB,1,18,49,4,4,FORCED,18,2091,8450
FINAL_RAB,15,1,2091,31,SKIPPED,8450
FINAL_SAT,15,1,2091,31,SKIPPED,8450
15,1,RAB,1,0,0,-1,-1,RESULT_DET0_TRUE,18,2091,8450
FORCED_VARS,15,1,18,p30 p31 p32 p40 p41 p42 p43 p44 p50 p51 p52 p53 p54 p60 p61 p62 p63 p64
