k,l,mode,iter,idx_of_list,idx_total,i,j,verdict,forced_so_far,eqs_total,ms
14,6,RAB,1,1,49,6,0,FORCED,1,1850,1980
14,6,RAB,1,2,49,6,1,FORCED,2,1850,3140
14,6,RAB,1,3,49,5,0,FORCED,3,1850,3970
14,6,RAB,1,4,49,5,1,FORCED,4,1850,4660
14,6,RAB,1,5,49,4,0,FORCED,5,1850,5150
14,6,RAB,1,6,49,4,1,FORCED,6,1850,5540
14,6,RAB,1,7,49,6,2,FORCED,7,1850,5800
14,6,RAB,1,8,49,6,3,not_forced,7,1850,6130
14,6,RAB,1,9,49,6,4,not_forced,7,1850,6450
14,6,RAB,1,10,49,6,5,not_forced,7,1850,6770
14,6,RAB,1,11,49,6,6,not_forced,7,1850,7050
14,6,RAB,1,12,49,3,0,not_forced,7,1850,7400
14,6,RAB,1,13,49,3,1,not_forced,7,1850,7740
14,6,RAB,1,14,49,5,2,FORCED,8,1850,7960
14,6,RAB,1,15,49,5,3,not_forced,8,1850,8210
14,6,RAB,1,16,49,5,4,not_forced,8,1850,8470
14,6,RAB,1,17,49,5,5,not_forced,8,1850,8720
14,6,RAB,1,18,49,5,6,not_forced,8,1850,8970
14,6,RAB,1,19,49,2,0,not_forced,8,1850,9270
14,6,RAB,1,20,49,2,1,not_forced,8,1850,9570
14,6,RAB,1,21,49,4,2,FORCED,9,1850,9720
14,6,RAB,1,22,49,4,3,not_forced,9,1850,9960
14,6,RAB,1,23,49,4,4,not_forced,9,1850,10190
14,6,RAB,1,24,49,4,5,not_forced,9,1850,10420
14,6,RAB,1,25,49,4,6,not_forced,9,1850,10660
14,6,RAB,1,26,49,1,0,not_forced,9,1850,11170
14,6,RAB,1,27,49,1,1,not_forced,9,1850,11700
14,6,RAB,1,28,49,3,2,not_forced,9,1850,11960
14,6,RAB,1,29,49,3,3,not_forced,9,1850,12260
14,6,RAB,1,30,49,3,4,not_forced,9,1850,12530
14,6,RAB,1,31,49,3,5,not_forced,9,1850,12810
14,6,RAB,1,32,49,3,6,not_forced,9,1850,13070
14,6,RAB,1,33,49,2,2,not_forced,9,1850,13610
14,6,RAB,1,34,49,2,3,not_forced,9,1850,14170
14,6,RAB,1,35,49,2,4,not_forced,9,1850,14840
14,6,RAB,1,36,49,2,5,not_forced,9,1850,15420
14,6,RAB,1,37,49,2,6,not_forced,9,1850,15960
RESUME_JUMP_FINAL,14,6,9,1850,15960
FINAL_RAB,14,6,1850,40,true,21910
14,6,RAB,1,0,0,-1,-1,RESULT_RAB_TRUE,9,1850,21910
FORCED_VARS,14,6,9,p40 p41 p42 p50 p51 p52 p60 p61 p62
